trade_id,violation_type,decision,reason
BTCUSDT_00005003,spoofing,kept,pass2_detector_match
BTCUSDT_00005014,spoofing,kept,pass2_detector_match
BTCUSDT_00005026,spoofing,kept,pass2_detector_match
BTCUSDT_00005027,spoofing,kept,pass2_detector_match
BTCUSDT_00005028,spoofing,kept,pass2_detector_match
BTCUSDT_00005030,spoofing,kept,pass2_detector_match
BTCUSDT_00005031,spoofing,kept,pass2_detector_match
BTCUSDT_00005032,spoofing,kept,pass2_detector_match
BTCUSDT_00005033,spoofing,kept,pass2_detector_match
BTCUSDT_00005034,spoofing,kept,pass2_detector_match
BTCUSDT_00005035,spoofing,kept,pass2_detector_match
BTCUSDT_00005036,spoofing,kept,pass2_detector_match
BTCUSDT_00005037,spoofing,kept,pass2_detector_match
BTCUSDT_00005038,spoofing,kept,pass2_detector_match
BTCUSDT_00005039,spoofing,kept,pass2_detector_match
BTCUSDT_00005040,spoofing,kept,pass2_detector_match
BTCUSDT_00005041,spoofing,kept,pass2_detector_match
BTCUSDT_00005042,spoofing,kept,pass2_detector_match
BTCUSDT_00005043,spoofing,kept,pass2_detector_match
BTCUSDT_00005044,spoofing,kept,pass2_detector_match
BTCUSDT_00005045,spoofing,kept,pass2_detector_match
DOGEUSDT_00000076,chain_layering,kept,pass2_detector_match
DOGEUSDT_00000668,chain_layering,kept,pass2_detector_match
DOGEUSDT_00001361,chain_layering,kept,pass2_detector_match
ETHUSDT_00004001,spoofing,dropped,not_in_pass2_detector_output
ETHUSDT_00004003,spoofing,kept,pass2_detector_match
ETHUSDT_00004004,spoofing,kept,pass2_detector_match
ETHUSDT_00004005,spoofing,kept,pass2_detector_match
ETHUSDT_00004008,spoofing,kept,pass2_detector_match
ETHUSDT_00004009,spoofing,kept,pass2_detector_match
ETHUSDT_00004010,spoofing,kept,pass2_detector_match
ETHUSDT_00004011,spoofing,kept,pass2_detector_match
ETHUSDT_00004012,spoofing,kept,pass2_detector_match
ETHUSDT_00004015,spoofing,kept,pass2_detector_match
ETHUSDT_00004019,spoofing,kept,pass2_detector_match
ETHUSDT_00004021,spoofing,kept,pass2_detector_match
ETHUSDT_00004022,spoofing,kept,pass2_detector_match
ETHUSDT_00004025,spoofing,kept,pass2_detector_match
ETHUSDT_00004026,spoofing,kept,pass2_detector_match
ETHUSDT_00004027,spoofing,kept,pass2_detector_match
ETHUSDT_00004028,spoofing,kept,pass2_detector_match
ETHUSDT_00004029,spoofing,kept,pass2_detector_match
ETHUSDT_00004030,spoofing,kept,pass2_detector_match
ETHUSDT_00004031,spoofing,kept,pass2_detector_match
LTCUSDT_00000186,chain_layering,kept,pass2_detector_match
LTCUSDT_00000848,chain_layering,kept,pass2_detector_match
LTCUSDT_00001101,chain_layering,kept,pass2_detector_match
LTCUSDT_00001184,chain_layering,kept,pass2_detector_match
USDCUSDT_00001001,peg_break,kept,pass2_detector_match
USDCUSDT_00001010,peg_break,kept,pass2_detector_match
USDCUSDT_00001011,peg_break,kept,pass2_detector_match
XRPUSDT_00000570,chain_layering,kept,pass2_detector_match
XRPUSDT_00001075,chain_layering,kept,pass2_detector_match
XRPUSDT_00001591,chain_layering,kept,pass2_detector_match
XRPUSDT_00002383,chain_layering,kept,pass2_detector_match
XRPUSDT_00002509,spoofing,dropped,not_in_pass2_detector_output
XRPUSDT_00002518,spoofing,kept,pass2_detector_match
XRPUSDT_00002519,spoofing,kept,pass2_detector_match
XRPUSDT_00002520,spoofing,kept,pass2_detector_match
XRPUSDT_00002521,spoofing,kept,pass2_detector_match
XRPUSDT_00002522,spoofing,kept,pass2_detector_match
XRPUSDT_00002528,spoofing,kept,pass2_detector_match
XRPUSDT_00002532,spoofing,kept,pass2_detector_match
XRPUSDT_00002535,spoofing,kept,pass2_detector_match
